"Step","evalv2_spball_1.8B_mupinit_muplr5e-3_wd0.1_hard_headfc1split - hidden-states-absmax/attention::o_proj","evalv2_spball_1.8B_mupinit_muplr5e-3_wd0.1_hard_headfc1split - hidden-states-absmax/attention::o_proj__MIN","evalv2_spball_1.8B_mupinit_muplr5e-3_wd0.1_hard_headfc1split - hidden-states-absmax/attention::o_proj__MAX","evalv2_muonw_1.8B_muptinit_muplr5e-3_wd0.1_headfc1split - hidden-states-absmax/attention::o_proj","evalv2_muonw_1.8B_muptinit_muplr5e-3_wd0.1_headfc1split - hidden-states-absmax/attention::o_proj__MIN","evalv2_muonw_1.8B_muptinit_muplr5e-3_wd0.1_headfc1split - hidden-states-absmax/attention::o_proj__MAX","evalv2_adamw_1.8B_muptinit_muplr5e-3_wd0.1_headfc1split - hidden-states-absmax/attention::o_proj","evalv2_adamw_1.8B_muptinit_muplr5e-3_wd0.1_headfc1split - hidden-states-absmax/attention::o_proj__MIN","evalv2_adamw_1.8B_muptinit_muplr5e-3_wd0.1_headfc1split - hidden-states-absmax/attention::o_proj__MAX"
"457","1.9296875","1.9296875","1.9296875","1.4609375","1.4609375","1.4609375","540","540","540"
"458","1.9453125","1.9453125","1.9453125","1.734375","1.734375","1.734375","544","544","544"
"460","1.8203125","1.8203125","1.8203125","1.3984375","1.3984375","1.3984375","600","600","600"
"461","1.828125","1.828125","1.828125","1.3984375","1.3984375","1.3984375","576","576","576"
"462","1.890625","1.890625","1.890625","1.71875","1.71875","1.71875","640","640","640"
"463","2.046875","2.046875","2.046875","1.5","1.5","1.5","628","628","628"
"465","2.0625","2.0625","2.0625","1.5","1.5","1.5","656","656","656"
"468","2.625","2.625","2.625","1.9765625","1.9765625","1.9765625","716","716","716"
"470","1.9921875","1.9921875","1.9921875","1.46875","1.46875","1.46875","704","704","704"
"472","2.765625","2.765625","2.765625","1.796875","1.796875","1.796875","660","660","660"
"475","2.421875","2.421875","2.421875","1.59375","1.59375","1.59375","640","640","640"
"477","2.75","2.75","2.75","1.71875","1.71875","1.71875","764","764","764"
"482","2.53125","2.53125","2.53125","2.03125","2.03125","2.03125","776","776","776"
"483","2.828125","2.828125","2.828125","1.734375","1.734375","1.734375","708","708","708"
"488","2.1875","2.1875","2.1875","1.640625","1.640625","1.640625","716","716","716"
"489","2.203125","2.203125","2.203125","1.7734375","1.7734375","1.7734375","740","740","740"
"490","2.953125","2.953125","2.953125","1.6875","1.6875","1.6875","792","792","792"
"494","2.125","2.125","2.125","1.9296875","1.9296875","1.9296875","904","904","904"
"495","2.65625","2.65625","2.65625","1.890625","1.890625","1.890625","768","768","768"
"496","2.546875","2.546875","2.546875","2.0625","2.0625","2.0625","860","860","860"
"497","2.4375","2.4375","2.4375","1.859375","1.859375","1.859375","744","744","744"
"498","2.421875","2.421875","2.421875","1.65625","1.65625","1.65625","752","752","752"
"499","2.609375","2.609375","2.609375","2.15625","2.15625","2.15625","804","804","804"
"501","3","3","3","2.1875","2.1875","2.1875","944","944","944"
"502","3","3","3","2","2","2","780","780","780"
"503","2.890625","2.890625","2.890625","1.9453125","1.9453125","1.9453125","756","756","756"
"506","3","3","3","2.03125","2.03125","2.03125","824","824","824"
"511","2.984375","2.984375","2.984375","2.015625","2.015625","2.015625","848","848","848"
"512","2.8125","2.8125","2.8125","2.15625","2.15625","2.15625","820","820","820"
"513","2.375","2.375","2.375","1.765625","1.765625","1.765625","816","816","816"
"514","2.875","2.875","2.875","2.109375","2.109375","2.109375","784","784","784"
"515","3.25","3.25","3.25","2.359375","2.359375","2.359375","872","872","872"
"517","2.96875","2.96875","2.96875","2.609375","2.609375","2.609375","944","944","944"
"519","2.75","2.75","2.75","2.15625","2.15625","2.15625","940","940","940"
"526","2.59375","2.59375","2.59375","2.140625","2.140625","2.140625","820","820","820"
"527","3.28125","3.28125","3.28125","2.328125","2.328125","2.328125","896","896","896"
"532","3","3","3","2","2","2","876","876","876"
"534","2.71875","2.71875","2.71875","2.09375","2.09375","2.09375","860","860","860"
"536","","","","","","","880","880","880"
"537","2.9375","2.9375","2.9375","2.453125","2.453125","2.453125","916","916","916"
"542","3.890625","3.890625","3.890625","2.5","2.5","2.5","1232","1232","1232"
"543","3.21875","3.21875","3.21875","2.546875","2.546875","2.546875","1024","1024","1024"
"545","3.59375","3.59375","3.59375","2.328125","2.328125","2.328125","1040","1040","1040"
"549","3.046875","3.046875","3.046875","2.5","2.5","2.5","996","996","996"
"550","2.78125","2.78125","2.78125","2.28125","2.28125","2.28125","1020","1020","1020"
"551","3.03125","3.03125","3.03125","2.421875","2.421875","2.421875","1000","1000","1000"
"552","4.03125","4.03125","4.03125","2.84375","2.84375","2.84375","1328","1328","1328"
"560","3.28125","3.28125","3.28125","2.671875","2.671875","2.671875","1056","1056","1056"
"564","3.78125","3.78125","3.78125","2.484375","2.484375","2.484375","1176","1176","1176"
"565","3.484375","3.484375","3.484375","2.40625","2.40625","2.40625","1144","1144","1144"
"568","2.828125","2.828125","2.828125","2.546875","2.546875","2.546875","1120","1120","1120"
"570","","","","","","","1264","1264","1264"
"574","3.40625","3.40625","3.40625","2.625","2.625","2.625","1160","1160","1160"
