Step,radius1,radius0.1,radius2,radius10,radius0.5
420,61.5,0.29296875,148,16128,8.4375
421,60.75,0.30078125,154,17024,8.6875
423,59,0.384765625,159,16768,9.125
424,59.5,0.223632813,160,17152,9.25
425,64.5,0.296875,145,16256,9.375
426,60.5,0.33984375,148,16640,9.3125
427,63,0.3203125,168,17152,9.875
428,66,0.302734375,152,17280,9.4375
429,68,0.328125,168,16512,9.75
430,60.25,0.275390625,149,17408,9
434,64,0.3984375,166,16320,9.5625
435,66,0.44140625,149,19072,10.5625
436,65.5,0.4765625,165,16896,10.375
440,72.5,0.423828125,154,17152,10.375
441,73,0.380859375,166,18688,11.0625
442,75,0.345703125,159,17664,10.9375
443,73,0.361328125,189,18432,11.25
444,80,0.392578125,157,17664,10.375
445,74.5,0.408203125,166,17408,11.375
446,79,0.247070313,171,19584,11.1875
447,73,0.400390625,167,17792,11.875
450,78.5,0.353515625,160,18176,12.25
451,78,0.330078125,173,17920,11.625
452,76.5,0.408203125,170,18048,12.25
453,79.5,0.322265625,166,17920,12.3125
454,80.5,0.373046875,163,18944,13.25
455,79.5,0.3125,187,19456,12.8125
456,81,0.44921875,160,17792,12.9375
457,78.5,0.369140625,166,20224,12.9375
458,83.5,0.5,162,18304,13.1875
459,83,0.5078125,174,19968,13.4375
460,84,0.546875,167,19456,12.4375
461,87,0.451171875,179,17664,13
462,80,0.41796875,165,18944,12.3125
463,87.5,0.5078125,173,17792,14.375
464,94.5,0.484375,164,19328,12.5
465,86.5,0.46875,172,18560,13.3125
466,84.5,0.4921875,191,19200,12.5
467,88,0.48828125,180,21376,13.0625
468,90.5,0.56640625,194,18688,13.5
470,101,0.427734375,169,18560,14.0625
471,96.5,0.46875,180,21120,13.6875
472,85.5,0.4609375,180,20736,13.625
473,90.5,0.56640625,184,20864,14.6875
474,90.5,0.46875,186,20096,13.6875
475,94.5,0.56640625,184,19200,14.3125
477,99,0.49609375,206,21376,15.375
479,102,0.578125,206,19840,15.125
480,99.5,0.63671875,177,19456,14.1875
481,98.5,0.609375,182,18816,16.625
482,105.5,0.703125,182,19456,14.875
483,98.5,0.546875,193,19968,15.3125
484,99.5,0.5625,185,19328,15.125
485,103,0.484375,189,23424,15.3125
486,114,0.5234375,191,20352,15.6875
487,100,0.54296875,192,21248,16.625
488,106.5,0.48828125,196,19968,16.25
489,104,0.61328125,221,21504,16.25
490,105,0.625,194,19456,16.75
491,110.5,0.69140625,194,21504,15.625
492,110,0.66015625,204,20480,17.375
493,105.5,0.74609375,185,19840,15.9375
494,108.5,0.69921875,201,19200,18.125
495,108,0.58984375,189,21248,16.375
496,116,0.77734375,196,20608,17.5
497,107,0.55078125,214,19712,16.375
498,112,0.56640625,196,21120,17.75
499,116,0.75,207,20480,16.625
500,112.5,0.5234375,192,20224,17.5
501,110,0.8359375,212,25088,18.875
502,123.5,0.494140625,196,21632,17.625
503,107.5,0.7109375,197,19840,17.75
504,112,0.734375,214,20096,18.5
505,114.5,0.5703125,203,20224,18.5
506,119,0.8125,208,21760,18.125
508,112,0.6015625,202,23424,18.125
511,119.5,0.8671875,222,22912,20.375
